"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Requirements and Challenges in the Configuration of a Real-Time Node for OPC UA Publish-Subscribe Communication","R. Neumann; C. von Arnim; M. Neubauer; A. Lechler; A. Verl","Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany; Institute for Control Engineering of Machine Tools and Manufacturing Units (ISW), University of Stuttgart, Stuttgart, Germany",2023 29th International Conference on Mechatronics and Machine Vision in Practice (M2VIP),"2 Feb 2024","2023","","","1","6","Factory automation is evolving from a hierarchical structure towards an interconnected architecture in which systems at different levels can communicate seamlessly with each other. This requires an appropriate replacement of proprietary fieldbus systems in the automation sector. A promising solution to implement cross-plane end-to-end real-time capable communication between computing nodes is proposed in literature. The usage of Open Platform Communication Unified Architecture (OPC UA) as the information model with the Publish-Subscribe (PubSub) communication mechanism in combination with Time Sensitive Networking (TSN) is presented to fulfill the requirements for message transmission. In contrast to the state of the art of configuring fieldbus systems, the configuration of such a real-time communication node has to be done manually. This process is complex, as deep knowledge in different domains is required. In this work we elaborate the requirements for such a communication node and present the resulting implementation challenges, which can be used as the basis for a configuration tool.","","979-8-3503-2562-1","10.1109/M2VIP58386.2023.10413399","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10413399","OPC UA PubSub;real-time communication;computing node","Mechatronics;Machine vision;Computational modeling;Publish-subscribe;Computer architecture;Real-time systems;Manufacturing automation","","5","","33","IEEE","2 Feb 2024","","","IEEE","IEEE Conferences"
"Towards Extraction of Validation Rules from OPC UA Companion Specifications","N. Tufek; A. S. Sree Thuluva; V. Philipp Just; M. Sabou","Technology Department, Siemens AG, Munich, Germany; Technology Department, Siemens AG, Munich, Germany; Inst. Computer Engineering, Vienna University of Technology; Inst. Data, Process Knowledge Management, Vienna University of Economics and Business",2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),"12 Oct 2023","2023","","","1","8","Interoperability is the key to industrial automation. OPC UA aims to provide interoperability between industrial machines at the network, protocol, and semantic layers. In order to achieve it, the implementation of a machine and its nodeset file should comply with the OPC UA standard. However, there are a few areas for improvement in technology to automatically check compliance since the compliance rules/validation rules are expressed in textual format in specification documents. In other words, they are not machine-interpretable. Converting the text-based specification into machine-readable form is a complex problem since each companion specification is domain-specific and written by a set of industry experts from all over the world from diverse language backgrounds. The specifications are majorly unique, with little commonality between them. Because of these reasons, it is challenging to develop a generic information extraction approach to retrieve rules that work for all specifications. In this study, we aim to handle this challenge to extract the textual rules from specifications automatically by applying Natural Language Processing and Machine Learning technologies. We present our methodology based on Named Entity Recognition for OPC UA documents for information extraction and text classification to identify rules. To achieve this goal, we created five named entity data sets from five selected OPC UA companion specifications. The sentences in the data set and the entities in the sentences were annotated by two OPC UA experts. We point out a deeper analysis of the data sets to highlight common and unique entities in them and show their usage in identifying the rules in the specifications.","1946-0759","979-8-3503-3991-8","10.1109/ETFA54631.2023.10275371","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275371","OPC UA;Named Entity Recognition;Natural Language Processing;Classification","Protocols;Text recognition;Text categorization;Semantics;Machine learning;Information retrieval;Natural language processing","","3","","21","IEEE","12 Oct 2023","","","IEEE","IEEE Conferences"
"Assessment of OPC UA PubSub at Scale Using TSN Infrastructure and Network Calculus","F. Rezabek; M. Helm; N. Buchner; M. Smolarska; B. Jaeger; G. Carle","Department of Computer Engineering, TUM School of CIT, Technical University of Munich, Germany; Department of Computer Engineering, TUM School of CIT, Technical University of Munich, Germany; Department of Computer Engineering, TUM School of CIT, Technical University of Munich, Germany; Department of Computer Engineering, TUM School of CIT, Technical University of Munich, Germany; Department of Computer Engineering, TUM School of CIT, Technical University of Munich, Germany; Department of Computer Engineering, TUM School of CIT, Technical University of Munich, Germany",2024 IEEE 21st International Conference on Mobile Ad-Hoc and Smart Systems (MASS),"25 Oct 2024","2024","","","403","411","OPC UA PubSub is a recent addition to the OPC UA industry standard used for machine-type communication in the Industrial Internet of Things. It can be combined with Time Sensitive Networking (TSN) to offer deterministic latency and bounded jitter. In this work, we model the network interactions between Credit-Based Shaper (CBS) and PubSub using Network Calculus. We derive worst-case delay bounds for various numbers of hops, payload sizes, and competing flows. The derived bounds are confirmed using deployments on commercial-of-the-shelf hardware and open-source solutions relying on a low-latency Linux kernel. Based on the results, we observe that the derived bounds are satisfied in all scenarios of seven hops with a round-trip-time (RTT) varying between 1 to 2.5 ms for respective payload sizes of 59 to 1481 B. Similarly, for jitter we observe fluctuations of $\pm \mathbf{250}\boldsymbol{\mu} \mathbf{s}$. Complementing the CBS results, we evaluate time-aware shaping, where we observe lower RTTs for average payload sizes of around $800 \mu\mathrm{s}$. Our contributions show that OPC UA PubSub applications can co-exist with TSN.","2155-6814","979-8-3503-6399-9","10.1109/MASS62177.2024.00060","German Federal Ministry of Education and Research (BMBF)(grant numbers:16KISK002,16KISK107); German Research Foundation (DFG)(grant numbers:CA595/13-1); Horizon Europe(grant numbers:951850,101131207); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10723683","TSN;OPC UA;Network Calculus;COTS;Reproducibility","Network topology;Jitter;Smart systems;Calculus;Delays;Topology;Security;Low latency communication;Standards;Payloads","","","","33","IEEE","25 Oct 2024","","","IEEE","IEEE Conferences"
"A Query Language for OPC UA Event Filters","F. Duewel; A. Ebner; J. Pfrommer","Fraunhofer IOSB, Karlsruhe, Germany; Fraunhofer IOSB, Karlsruhe, Germany; Fraunhofer IOSB, Karlsruhe, Germany",2024 IEEE 29th International Conference on Emerging Technologies and Factory Automation (ETFA),"16 Oct 2024","2024","","","1","7","The OPC UA standard combines industrial communication with information modeling. In order to remove the need for continuous polling, OPC UA clients can create subscriptions to be notified about data changes and events. OPC UA Event Filters provide powerful constructs for the server-side selection of relevant events. This feature is however underused in practice, also because of the complexity of Event Filters. Event Filters are expressed in a “byte-code” encoding. Assembling this encoding by hand is difficult and error-prone. This paper discusses the semantics of OPC UA Event Filters and proposes a query language to facilitate their definition. A formal grammar for the query language is provided in the BNF format. An implementation of a corresponding parser is available as part of the open62541 library.","1946-0759","979-8-3503-6123-0","10.1109/ETFA61755.2024.10710686","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10710686","","Filters;Semantics;Industrial communication;Encoding;Libraries;Grammar;Complexity theory;Database languages;Standards;Manufacturing automation","","","","20","IEEE","16 Oct 2024","","","IEEE","IEEE Conferences"
"OPC UA as a Key Technology for Industry 4.0 Electric Drives - A Proof of Concept","I. Kliasheu; T. Schwarz; C. Zhou; R. Kundel; B. Scheuermann; A. Schürr; G. Griepentrog; M. Wolff","Technical University of Darmstadt, Germany; Technical University of Darmstadt, Germany; Technical University of Darmstadt, Germany; Technical University of Darmstadt, Germany; Technical University of Darmstadt, Germany; Technical University of Darmstadt, Germany; Technical University of Darmstadt, Germany; Technical University of Darmstadt, Germany",2024 Energy Conversion Congress & Expo Europe (ECCE Europe),"20 Nov 2024","2024","","","1","8","To implement Industry 4.0 functionality, seamless communication across the value chain is vital. This extends to electric drives, one key component in industrial production.Even so, while the current plurality of (vendor-specific) fieldbus protocols enable real-time communication within a domain, general communication methods and protocols are needed. This paper investigates the vendor-independent OPC UA protocol, which is a potential universal solution based on the standardized and omnipresent Ethernet/IP/TCP network protocols.While highlighting challenges and potential solutions, this study presents the practical application of OPC UA on electric drives in a demonstrator environment. The results show that fully manufacturer-independent operations faced challenges due to proprietary systems even though a standard communication protocol is in use. Further, the results emphasize the need for standardized workflows, automated tools, and detailed requirements for scalability.","","979-8-3503-6444-6","10.1109/ECCEEurope62508.2024.10752057","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752057","Industry 4.0;electric drive;Drive 4.0;OPC UA;AAS;ECLASS","Industries;Electric potential;Protocols;Scalability;Europe;Real-time systems;Fourth Industrial Revolution;Reliability;Standards","","","","28","IEEE","20 Nov 2024","","","IEEE","IEEE Conferences"
"ECC Implementation and Performance Evaluation for Securing OPC UA Communication","A. Tidrea; A. Korodi","Department of Automation and Applied Informatics, University Politehnica Timisoara, Timisoara, Romania; Department of Automation and Applied Informatics, University Politehnica Timisoara, Timisoara, Romania","2023 IEEE 22nd International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)","29 May 2024","2023","","","1704","1711","Protecting critical infrastructures and manufacturing plants in the context of Industry 4.0 against cyber-attacks is a nowadays challenge due to lack or insufficient security mechanisms for the communication protocols. Even though new protocols are considering built-in security (e.g. OPC UA) there is still a struggle for assuring interoperability and interconnectivity in the IoT era while dealing with resource constrained devices. This paper attempts to implement and evaluate a solution for assuring the authenticity and integrity of the data transmitted through OPC UA protocol in a client- server communication based on ECC as an alternative to the existing implemented solution which uses RSA. We choose ECC since it can achieve similar level of security as RSA for smaller key size and in order to respond to the limited memory and resource constrained elements part of an industrial system. Furthermore, we aim to evaluate through measurements the performance of different ECC key sizes in respect to the latency introduced by each cryptographic operation.","2324-9013","979-8-3503-8199-3","10.1109/TrustCom60117.2023.00232","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10538676","ECC;ECDSA;security;OPC UA;Industrial Internet of Things - IoT","Performance evaluation;Protocols;NIST;Elliptic curve cryptography;Error correction codes;Computational efficiency;Timing","","","","55","IEEE","29 May 2024","","","IEEE","IEEE Conferences"
"A Compliant Robot-Assisted Mold Polishing Application Using the Franka Emika Robot","M. C. Xenya; R. Cortesão","Electrical and Computer Engineering Department, Institute of Systems and Robotics, University of Coimbra, Coimbra, Portugal; Electrical and Computer Engineering Department, Institute of Systems and Robotics, University of Coimbra, Coimbra, Portugal",IECON 2023- 49th Annual Conference of the IEEE Industrial Electronics Society,"16 Nov 2023","2023","","","1","7","Metal mold casting for many application areas remains imperfect since this involves the control of numerous factors that affect workpiece quality. Surface roughness which remains one of the many issues related to metal mold cast is often mitigated by means of grinding and polishing. As many attempts are being made to address this challenge through robot-assisted techniques, we focus on rapid mold polishing using the Franka Emika (FE) robot and its programming resources, including a built-in impedance control architecture. To accomplish the objective, mold surface segmentation is necessary. For each segment, the polishing approach is based on surface normals, relative motion, and torque sensor data. Results were obtained with open platform communication-unified architecture (opc-ua) client and server that record torque and force data. Results show that tuning internal impedance control parameters for polishing tasks is feasible.","2577-1647","979-8-3503-3182-0","10.1109/IECON51785.2023.10312259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10312259","metal mold polishing;robot-assisted polishing;opc-ua;polishing application","Surface impedance;Torque;Motion segmentation;Computer architecture;Robot sensing systems;Iron;Trajectory","","","","13","IEEE","16 Nov 2023","","","IEEE","IEEE Conferences"
"An Autonomous Edge Box System Architecture for Industrial IoT Applications","C. Guo; S. Yang; S. Thiede","Department of Design, Production and Management, Chair of Manufacturing Systems, University of Twente, Enschede, The Netherlands; Department of Design, Production and Management, Chair of Manufacturing Systems, University of Twente, Enschede, The Netherlands; Department of Design, Production and Management, Chair of Manufacturing Systems, University of Twente, Enschede, The Netherlands",2024 IEEE 22nd International Conference on Industrial Informatics (INDIN),"12 Dec 2024","2024","","","1","6","Digitalization has been developing in manufacturing for decades. Many concepts and technologies related to digitalization have been proposed and have brought significant benefits to enterprises. The Industrial Internet of Things (IIoT) is an important means to realize digital manufacturing. However, there are many barriers when integrating and implementing digitalization for industrial companies, especially for small and medium-sized enterprises (SMEs). These barriers mainly include high cost sensitivity, difficulty in system installation and deployment, lacking of unified methods and platforms, and threats to data and network security. Therefore, a lightweight IIoT architecture is proposed in this paper to support SMEs to overcome the barriers and obtain the practical values brought by IIoT with a lower cost and effort. Finally, a case study has been conducted to validate the proposed approach.","2378-363X","979-8-3315-2747-1","10.1109/INDIN58382.2024.10774355","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10774355","IIoT;Cyber-Physical Production Systems;autonomous;Industry 4.0;OPC UA;Edge Computing","Costs;Sensitivity;Systems architecture;Production;Computer architecture;Companies;Network security;Manufacturing;Informatics;Industrial Internet of Things","","","","33","IEEE","12 Dec 2024","","","IEEE","IEEE Conferences"
"Structured text programming to visualize the distribution of packages on a conveyor","M. Pounraj; L. Lonappan; V. S. R. Ali; A. L. D'couto; D. L. Deepak; R. R. Krishnan","Centre of Excellence in Automation, CHRIST (Deemed to be University), Bengaluru, Karnataka; Department of EEE, CHRIST (Deemed to be University), Bengaluru, Karnataka; Department of EEE, CHRIST (Deemed to be University), Bengaluru, Karnataka; Department of EEE, CHRIST (Deemed to be University), Bengaluru, Karnataka; Department of EEE, CHRIST (Deemed to be University), Bengaluru, Karnataka; Department of EEE, CHRIST (Deemed to be University), Bengaluru, Karnataka","2023 Second International Conference on Electrical, Electronics, Information and Communication Technologies (ICEEICT)","26 Jun 2023","2023","","","1","5","Automation is a process of increasing production and reducing the downtime of any industry. With the integration of sensor data to the cloud using an OPC-VA communication protocol, the automation becomes more prominent and interesting. However, many existing industrial controllers do not support open platform communication unified architecture (OPC-VA) and it needs an IIoT device to connect the cloud. The existing programmable logic controller in any industry have to be connected to an IIoT device through Ethernet. Sensors connected to the controller will transmit the data to the IIoT device. The transmission can also be bidirectional. In this paper, a conveyor which distributes packages is simulated in Codesys and it is visualized in a human-machine interface (HMI) screen which is in-built in the software. The hardware set-up is made with the industrial controller to execute the same. A methodology to send the data from the controller to the cloud using open platform communication unified architecture (OPC-UA) is proposed","","979-8-3503-9763-5","10.1109/ICEEICT56924.2023.10157818","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10157818","Automation;OPC-UA;Conveyor;Sensors","Industries;Cloud computing;Protocols;Automation;Data visualization;Computer architecture;Programming","","","","15","IEEE","26 Jun 2023","","","IEEE","IEEE Conferences"
"Overcoming Challenges in Integrating Legacy Devices with Asset Administration Shells - An OPC UA Case Study","A. Zielstorff; D. Schöttke; A. Hohenhövel; T. Kämpfe; S. Schäfer; F. Schnicke","Hochschule für Technik und Wirtschaft (HTW) Berlin, Berlin, Germany; Hochschule für Technik und Wirtschaft (HTW) Berlin, Berlin, Germany; Hochschule für Technik und Wirtschaft (HTW) Berlin, Berlin, Germany; Hochschule für Technik und Wirtschaft (HTW) Berlin, Berlin, Germany; Hochschule für Technik und Wirtschaft (HTW) Berlin, Berlin, Germany; Fraunhofer IESE, Kaiserslautern, Germany",2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),"12 Oct 2023","2023","","","1","8","The transition towards Industry 4.0 requires the modernisation of legacy systems. However, this transformation introduces complexity, mainly due to the variety of data formats and interfaces resulting from the heterogeneity of the used components. For seamless interoperability in Industry 4.0 applications, a harmonised data base is of vital importance. The Asset Administration Shell (AAS), as a standardised digital twin of assets, plays a key role in facilitating interoperable, data-centric solutions in the Industry 4.0 landscape. The prospect of automated data integration offers the potential to reduce errors and optimise the process of digitising legacy systems. This raises the question of what extensions and components within the AAS infrastructure are necessary to realise such automation. In response, this paper presents an architectural concept for integrating legacy systems into the AAS framework. Using an articulated robot as a tangible example, the process of interconnecting data points via the OPC UA protocol is illustrated. Additionally, a prototype is presented, capable of enabling vertical data integration via the BaSyx DataBridge, thus showcasing the notable advantages of automating the incorporation of legacy devices into the AAS. The shown solution retains flexibility and is readily applicable to a variety of systems and scenarios as required.","1946-0759","979-8-3503-3991-8","10.1109/ETFA54631.2023.10275536","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275536","Asset Administration Shell;Data Integration;OPC UA;Industry 4.0;DataBridge","Protocols;Data integration;Prototypes;Aging;Fourth Industrial Revolution;Digital twins;Complexity theory","","7","","16","IEEE","12 Oct 2023","","","IEEE","IEEE Conferences"
"A Cloud-Native Software Architecture of NAMUR Open Architecture Verification of Request using OPC UA PubSub Actions over MQTT","S. Grüner; A. Trosten","ABB Corporate Reserach Center Germany, Ladenburg, Germany; ABB Process Automation, Vasteras, Sweden",2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),"12 Oct 2023","2023","","","1","8","Long life cycles of OT equipment used in process industry pose a burden to the adoption of high-paced Industry 4.0 IT applications. NAMUR Open Architecture (NOA) specifies a reference architecture to securely decouple the life cycle of IT and OT components, allowing both to evolve on the required pace. Verification of Request (VoR) and Security Gateway are two key concepts of NOA to allow controlled information traversal both ways between IT and OT domains. In this work we present a cloud-native software architecture of VoR by using a standardized OPC UA PubSub communication over MQTT. The architecture has been successfully validated on a simulated system using Kubernetes clusters and Virtual Machines hosting product-grade DCS and edge components.","1946-0759","979-8-3503-3991-8","10.1109/ETFA54631.2023.10275714","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275714","NAMUR Open Architecture;Verification of Request;OPC UA;MQTT;Cloud-Native Software Architecture","Industries;Cloud computing;Software architecture;Computer architecture;Logic gates;Virtual machining;Fourth Industrial Revolution","","4","","18","IEEE","12 Oct 2023","","","IEEE","IEEE Conferences"
"An OPC UA-based industrial Big Data architecture","E. Hirsch; S. Hoher; S. Huber","JR Centre for Intelligent and Secure Industrial Automation, Salzburg University of Applied Sciences, Puch, Austria; JR Centre for Intelligent and Secure Industrial Automation, Salzburg University of Applied Sciences, Puch, Austria; JR Centre for Intelligent and Secure Industrial Automation, Salzburg University of Applied Sciences, Puch, Austria",2023 IEEE 21st International Conference on Industrial Informatics (INDIN),"22 Aug 2023","2023","","","1","7","Industry 4.0 factories are complex and data-driven. Data is yielded from many sources, including sensors, PLCs, and other devices, but also from IT, like ERP or CRM systems. We ask how to collect and process this data in a way, such that it includes metadata and can be used for industrial analytics or to derive intelligent support systems. This paper describes a new, query model based approach, which uses a big data architecture to capture data from various sources using OPC UA as a foundation. It buffers and preprocesses the information for the purpose of harmonizing and providing a holistic state space of a factory, as well as mappings to the current state of a production site. That information can be made available to multiple processing sinks, decoupled from the data sources, which enables them to work with the information without interfering with devices of the production, disturbing the network devices they are working in, or influencing the production process negatively. Metadata and connected semantic information is kept throughout the process, allowing to feed algorithms with meaningful data, so that it can be accessed in its entirety to perform time series analysis, machine learning or similar evaluations as well as replaying the data from the buffer for repeatable simulations.","2378-363X","978-1-6654-9313-0","10.1109/INDIN51400.2023.10217899","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10217899","OPC UA;query model;IT/OT integration;information model;data retrieval;device decoupling;big data","Performance evaluation;Machine learning algorithms;Soft sensors;Time series analysis;Semantics;Machine learning;Metadata","","3","","29","IEEE","22 Aug 2023","","","IEEE","IEEE Conferences"
"Digital Twin Frameworks: A Comparative Study of AAS, OPC UA, and AML","A. Barnard","Department ICT and Automation, ifak - Institute for Automation and Communication, Magdeburg, Germany","2024 International Conference on Electrical, Computer and Energy Technologies (ICECET","8 Oct 2024","2024","","","1","6","This paper conducts a comparison of three leading digital twin frameworks: Asset Administration Shell, OPC UA, and AutomationML, aiming to clarify their features, capabilities, and industry applicability. By analyzing architecture, data modelling, interoperability, scalability, and security aspects, this study highlights each framework's unique strengths and limitations. Additionally, it examines their real-world applications through industry-specific case studies, offering insights into practical implementation benefits. The findings assist stakeholders in selecting the most suitable framework for their digital transformation initiatives, contributing to the broader understanding of digital twin technologies in advancing Industry 4.0.","","979-8-3503-9591-4","10.1109/ICECET61485.2024.10698583","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10698583","Digital Twin;AAS;OPC UA;AML","Industries;Electric potential;Scalability;Market research;Data models;Digital twins;Fourth Industrial Revolution;Stakeholders;Computer security;Interoperability","","3","","21","IEEE","8 Oct 2024","","","IEEE","IEEE Conferences"
"Convergent wireless real-time communicaiton using EtherCAT and OPC UA for AGV application with big data sets acquisition","J. Stój; P. Gaj","Dept. of Distributed Systems and Informatic Devices, Silesian University of Technology, Gliwice, Poland; Dept. of Distributed Systems and Informatic Devices, Silesian University of Technology, Gliwice, Poland",2023 IEEE International Conference on Big Data (BigData),"22 Jan 2024","2023","","","5127","5133","ptimization of delivery of goods to production stations spread on factory floors has led to creation of Automated Guided Vehicles AGV. Latter it evolved to AGVs equipped with collaborative robots implemented to automate the process of loading and unloading of the transported goods. To make the operation of AGVs efficient it is needed to exchange data with higher level system like Manufacturing Execution Systems MES and Transport Management Systems TMS. The data is needed also to increase the energy efficiency of AGVs and their availability by implementation of predictive maintenance procedures. To make it possible processing of big data sets describing the change of the state of AGV’s in time is necessary. But first, the data has to be gathered using reliable wireless communication link that are shared with real-time protocols used for integration with production stations and collaboration with them. The paper considers a solution based on EtherCAT network with application of Ethernet over EtherCAT EoE communication profile for tunneling of OPC UA traffic.","","979-8-3503-2445-7","10.1109/BigData59044.2023.10386272","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10386272","Industrial Control Systems;AGV;Real-time Ethernet;RTE;EtherCAT;Big Data;convergent networks;OPC UA;wireless;Wi-Fi","Wireless communication;Remotely guided vehicles;Protocols;Collaboration;Big Data;Tunneling;Real-time systems","","","","28","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"Knowledge-Driven Analysis Framework of Anomaly Propagation in Manufacturing Workshop","W. Shengbo; G. Yu","College of Mechanical and Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China; College of Mechanical and Electrical Engineering, Nanjing University of Aeronautics and Astronautics, Nanjing, China",2023 International Conference on Advanced Enterprise Information System (AEIS),"2 Apr 2024","2023","","","58","62","With the improvement of customization demand and the increase of market fluctuation, manufacturing enterprises gradually turn to intelligent manufacturing mode. However, there are various abnormal events in the manufacturing process, which hinder the normal production of the workshop. The analysis of anomaly propagation is considered to be an effective technique to solve this problem. In this paper, we propose a knowledge driven analysis framework of anomaly propagation in workshop. Firstly, a temporal knowledge graph(TKG) is built for anomaly propagation analysis based on the open platform communications unified architecture (OPC UA) information model and the ontology web language (OWL) mapping model. The time-series data in the manufacturing process is contained in the TKG, such as workpiece process data, machine maintenance data, etc. These data are the basis for the analysis of anomaly propagation. Then, a time-series analysis method for anomaly is proposed. This method gives the breadth and depth of abnormal events propagation in a period of time, so that decision makers can make decisions in advance to precisely control the production process. The analysis framework provides a route for manufacturing workshop to resolve abnormal events.","","979-8-3503-5926-8","10.1109/AEIS61544.2023.00017","Natural Science Foundation of Jiangsu Province(grant numbers:BK20202007); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10483047","temporal knowledge graph;anomaly propagation;OPC UA model;time-series manufacturing data","Analytical models;Manufacturing processes;Conferences;Semantics;OWL;Time series analysis;Production","","","","15","IEEE","2 Apr 2024","","","IEEE","IEEE Conferences"
"IIOT based Remote Monitoring and Control of Bottle Filling Process Using PLC and Node-Red","K. K; D. R; S. M V; K. S; G. R. M; S. A. S Meashake","Electronics and Instrumentation Engineering, Bannari Amman Institute of Technology, Sathyamangalam, India; Electronics and Instrumentation Engineering, Bannari Amman Institute of Technology, Sathyamangalam, India; Electronics and Instrumentation Engineering, Bannari Amman Institute of Technology, Sathyamangalam, India; Electronics and Instrumentation Engineering, Bannari Amman Institute of Technology, Sathyamangalam, India; Electronics and Instrumentation Engineering, Bannari Amman Institute of Technology, Sathyamangalam, India; Electronics and Instrumentation Engineering, Bannari Amman Institute of Technology, Sathyamangalam, India","2023 4th International Conference on Communication, Computing and Industry 6.0 (C216)","19 Feb 2024","2023","","","1","5","In the industrial bottle-filling process, multiple variables such as temperature, speed, flow, level, and quality must be accurately and consistently regulated. The Industrial Internet of Things (IIoT) is changing the environment in industries such as chemical processing, agriculture, textiles, and food manufacturing. Since the implementation of Industry 4.0, IIOT has become a viable option. By introducing intelligent systems into the industrial sector, this technology alters the relationship between various controllers, Instruments, machinery, and production equipment. It makes use of a Profinet communication network to transfer and manipulate Input and output data from field devices and the PLC S7-1200. This paper aims to develop a remote monitoring and control system for the bottle-filling process using a programmable logic controller (PLC), human-machine interface (HMI), photoelectric sensors, DC motor, solenoid valve, and computers so that its parameters can be monitored and controlled from a central or remote location. This project describes the PLC and Node-Red configuration, as well as the numerous scenarios and use cases created with OPC Unified Architecture (OPC UA). Common protocols used for PLC and HMI connection include Ethernet, Internet Protocol, Modbus, and RS 485. The IIoT system's data will be uploaded to the cloud through OPC UA and Node-Red.","","979-8-3503-2732-8","10.1109/C2I659362.2023.10430762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10430762","Node-Red;PLC;OPC UA;HMI;IIoT;Bottle Filling","Temperature sensors;Temperature measurement;Protocols;Programmable logic devices;Process control;Remote monitoring;Industrial Internet of Things","","1","","13","IEEE","19 Feb 2024","","","IEEE","IEEE Conferences"
"Design of an Educational-development Platform for Digital Twins using the Interoperability of the OPC UA Standard and Industry 4.0 Components","M. Pajpach; R. Pribiš; P. Drahoš; E. Kučera; O. Haffner","Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia; Faculty of Electrical Engineering and Information Technology, Slovak University of Technology in Bratislava, Bratislava, Slovakia","2023 3rd International Conference on Electrical, Computer, Communications and Mechatronics Engineering (ICECCME)","22 Sep 2023","2023","","","1","6","The development of Industry 4.0, especially in the areas of interoperability and the design, implementation and use of digital twins, has been enormous in recent years. This article discusses three key aspects that Industry 4.0 brings with it - virtualization through digital twins (DTs), interoperability based on the OPC UA standard, and the use of Industry 4.0's Administration Asset Shell (AAS) components. For the purpose of development and education, a design of an education and development platform has been developed, in which these key attributes of Industry 4.0 are conveniently combined into a single entity.","","979-8-3503-2297-2","10.1109/ICECCME57830.2023.10252941","Research and Development; Ministry of Education; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10252941","digital twin;Industry 4.0;interoperability;I4.0 component;AAS;virtualization;educational-development platform","Three-dimensional displays;Education;Semantics;Fourth Industrial Revolution;Digital twins;Servers;Virtualization","","3","","23","IEEE","22 Sep 2023","","","IEEE","IEEE Conferences"
