Title,Authors,Year,DOI,Document Type
A Unified Architecture for Industrial IoT Security Requirements in Open Platform Communications,Hansch G.; Schneider P.; Fischer K.; Böttinger K.,2019,10.1109/ETFA.2019.8869524,Conference paper
Authorization in asset administration shells using OPC UA,Schmitt J.; Gamer T.; Platenius-Mohr M.; Malakuti S.; Finster S.,2019,10.1515/auto-2019-0020,Article
"The Role of Artificial Intelligence in Advancing Fracture Mechanics: Modeling, Prediction, and Data Analysis",Srivastava V.; Gupta N.K.; Raturi O.; Somani N.; Bhandwal M.; Chaudhary N.,2024,10.1109/ICTACS62700.2024.10840711,Conference paper
Secure Onboarding of IIoT Devices using OPC UA,Kohnhauser F.; Gruner S.; Heuschkel J.,2022,10.1109/ETFA52439.2022.9921547,Conference paper
Open-Source OPC UA Security and Scalability,Mühlbauer N.; Kirdan E.; Pahl M.-O.; Carle G.,2020,10.1109/ETFA46521.2020.9212091,Conference paper
Design and Implementation of the Substation Intelligent Auxiliary Control System Based on OPC UA,Zhu C.; Li B.; Lv Z.; Zhao X.,2022,10.1109/REPE55559.2022.9949983,Conference paper
Implementing SCADA scenarios and introducing attacks to obtain training data for intrusion detection methods,Antón S.D.; Gundall M.; Fraunholz D.; Schotten H.D.,2019,,Conference paper
A prefatory study on data channelling mechanism towards industry 4.0,Ng K.H.; Tew Y.; Yip M.W.,2019,10.1109/APSIPAASC47483.2019.9023089,Conference paper
Development of a monitoring system for encrypted data by OPC UA,Honda T.; Shimazawa Y.; Hamaguchi T.; Hashimoto Y.,2021,10.1109/IIAI-AAI53430.2021.00129,Conference paper
Cyber threat intelligence for critical infrastructure security,Osliak O.; Saracino A.; Martinelli F.; Mori P.,2023,10.1002/cpe.7759,Article
Securing IIoT communications using OPC UA PubSub and Trusted Platform Modules,Gilles O.; Gracia Pérez D.; Brameret P.-A.; Lacroix V.,2023,10.1016/j.sysarc.2022.102797,Article
"Digital Twin Frameworks: A Comparative Study of AAS, OPC UA, and AML",Barnard A.,2024,10.1109/ICECET61485.2024.10698583,Conference paper
On the security of IIoT deployments: An investigation of secure provisioning solutions for OPC UA,Kohnhauser F.; Meier D.; Patzer F.; Finster S.,2021,10.1109/ACCESS.2021.3096062,Article
The Industrie 4.0 Asset Administration Shell as Information Source for Security Analysis,Patzer F.; Volz F.; Usländer T.; Blöcher I.; Beyerer J.,2019,10.1109/ETFA.2019.8869059,Conference paper
An Implementation of Convergence Security Solution for Overcoming of Security Vulnerabilities in Industrial Control Communication Network,Lee J.-K.; Lee S.-W.; Lee K.-H.,2019,10.1007/s11277-018-5970-4,Article
Research on Security Mechanism of Service Interoperability Based on Power Grid Computer System,Zhang Y.; Wang J.; Liu W.; Wang T.,2021,10.1088/1742-6596/1881/4/042022,Conference paper
ML-Based Synthetic OPC UA Traffic Generation for Covert Channel Transmission,Yatagha R.; Kirdan E.; Waedt K.; Ruland C.,2024,10.1109/ICECER62944.2024.10920404,Conference paper
"Mealy Verifier: An Automated, Exhaustive, and Explainable Methodology for Analyzing State Machines in Protocol Implementations",Tran Van A.; Levillain O.; Debar H.,2024,10.1145/3664476.3664506,Conference paper
OPC UA information modeling: A case study for smart house,Yi M.-J.; Son M.,2013,10.4028/www.scientific.net/AMM.241-244.2862,Conference paper
Secure gate: Secure gateways and wireless sensors as enablers for sustainability in production plants,Bienhaus D.; Ebner A.; Jäger L.; Rieke R.; Krauß C.,2021,10.1016/j.simpat.2021.102282,Article
Flexible Safety Systems for Smart Manufacturing,Etz D.; Fruhwirth T.; Kastner W.,2020,10.1109/ETFA46521.2020.9211905,Conference paper
Overview of OPC UA TSN,Yuan H.; Hao H.; Zhang M.,2021,10.1109/ITNEC52019.2021.9586911,Conference paper
"SCADA System Framework for Monitoring, Controlling and Data Logging of Industrial Processing Plants",Mohani S.S.; Khalid M.; Hussain S.S.; Ghori S.; Akbar H.,2020,10.1109/ICCI51257.2020.9247645,Conference paper
Software defined networking firewall for industry 4.0 manufacturing systems,Tsuchiya A.; Fraile F.; Koshijima I.; Órtiz A.; Poler R.,2018,10.3926/jiem.2534,Article
Design of unidirectional security gateway system for secure monitoring of OPC-UA data,Kim B.-K.; Heo Y.-J.; Na J.-C.,2017,10.1109/ICTC.2017.8190923,Conference paper
Towards post-quantum security for cyber-physical systems: Integrating PQC into industrial M2M communication,Paul S.; Scheible P.; Wiemer F.,2021,10.3233/JCS-210037,Article
Portable Trust Anchor for OPC UA Using Auto-Configuration,Meier D.; Patzer F.; Drexler M.; Beyerer J.,2020,10.1109/ETFA46521.2020.9211904,Conference paper
A Security Model based Authorization Concept for OPC Unified Architecture,Wallis K.; Reich C.; Merzinger M.; Schindelhauer C.,2018,10.1145/3291280.3291799,Conference paper
Research of integrity and authentication in OPC UA communication using Whirlpool hash function,Wu K.; Li Y.; Chen L.; Wang Z.,2015,10.3390/app5030446,Article
Data Acquisition Framework for spatio-temporal analysis of path-based welding applications,Safronov G.; Theisinger H.; Sahlbach V.; Braun C.; Molzer A.; Thies A.; Schuba C.; Shirazi M.; Reindl T.; Hänel A.; Engelhardt P.; Ihlenfeldt S.; Mayr P.,2024,10.1016/j.procir.2024.10.295,Conference paper
Multi-level user and role concept for a secure plug-and-work based on OPC UA and AutomationML,Schleipen M.; Selyansky E.; Henssen R.; Bischoff T.,2015,10.1109/ETFA.2015.7301640,Conference paper
Improving security in industry 4.0 by extending OPC-UA with usage control,Martinelli F.; Osliak O.; Mori P.; Saracino A.,2020,10.1145/3407023.3407077,Conference paper
On the Feasibility and Performance of Secure OPC UA Communication with IIoT Devices,Kohnhäuser F.; Coppik N.; Mendoza F.; Kumari A.,2022,10.1007/978-3-031-14835-4_13,Conference paper
A Novel OPC UA PubSub Protocol Binding Using MQTT for Sensor Networks (MQTT-SN),Nast M.; Raddatz H.; Golatowski F.; Haubelt C.,2024,10.1109/ETFA61755.2024.10711055,Conference paper
Universal protection for industrial control systems,Ono T.,2013,,Conference paper
Industrial Internet of Things Interoperability Between OPC UA and OneM2M,Lai P.-W.; Lin F.J.,2020,10.1007/978-3-030-44751-9_37,Book chapter
Simulating and detecting attacks of untrusted clients in OPC UA networks,Neu C.V.; Schiering I.; Zorzo A.,2019,10.1145/3360664.3360675,Conference paper
